scaffold_id	locus	v_calls	j_calls	n_pad
TRA_173	TRA	TRAV11*02,TRAV11D*02	TRAJ32*01	0
TRA_174	TRA	TRAV11*02,TRAV11D*02	TRAJ17*01	0
TRA_175	TRA	TRAV11*02,TRAV11D*02	TRAJ47*01	0
TRA_176	TRA	TRAV11*02,TRAV11D*02	TRAJ58*01	0
TRA_177	TRA	TRAV11*02,TRAV11D*02	TRAJ47*02	0
TRA_178	TRA	TRAV11*02,TRAV11D*02	TRAJ33*01	0
TRA_179	TRA	TRAV11*02,TRAV11D*02	TRAJ56*01	0
TRA_180	TRA	TRAV11*02,TRAV11D*02	TRAJ21*01	0
TRA_181	TRA	TRAV11*02,TRAV11D*02	TRAJ4*02	0
TRA_182	TRA	TRAV11*02,TRAV11D*02	TRAJ43*02	0
TRA_183	TRA	TRAV16*05	TRAJ42*01	0
TRA_184	TRA	TRAV16*05	TRAJ9*02	0
TRA_185	TRA	TRAV16*05	TRAJ9*01	0
TRA_186	TRA	TRAV16*05	TRAJ19*01	0
TRA_187	TRA	TRAV16*05	TRAJ16*01	0
TRA_188	TRA	TRAV16*05	TRAJ48*01	0
TRA_189	TRA	TRAV16*05	TRAJ12*02	0
TRA_190	TRA	TRAV16*05	TRAJ40*01	0
TRA_191	TRA	TRAV16*05	TRAJ44*01	0
TRA_192	TRA	TRAV16*05	TRAJ13*01	1
TRA_193	TRA	TRAV16*05	TRAJ22*01	1
TRA_194	TRA	TRAV16*05	TRAJ15*01	1
TRA_195	TRA	TRAV16*05	TRAJ52*01	1
TRA_196	TRA	TRAV16*05	TRAJ26*01	1
TRA_197	TRA	TRAV16*05	TRAJ25*02	1
TRA_198	TRA	TRAV16*05	TRAJ25*01	1
TRA_199	TRA	TRAV16*05	TRAJ43*01	1
TRA_200	TRA	TRAV16*05	TRAJ35*02	1
TRA_201	TRA	TRAV16*05	TRAJ53*01	1
TRA_202	TRA	TRAV16*05	TRAJ31*02	1
TRA_203	TRA	TRAV16*05	TRAJ31*01	1
TRA_204	TRA	TRAV16*05	TRAJ29*01	1
TRA_205	TRA	TRAV16*05	TRAJ6*01	2
TRA_206	TRA	TRAV16*05	TRAJ49*01	2
TRA_207	TRA	TRAV16*05	TRAJ45*02	2
TRA_208	TRA	TRAV16*05	TRAJ32*02	2
TRA_209	TRA	TRAV16*05	TRAJ35*01	2
TRA_210	TRA	TRAV16*05	TRAJ7*01	2
TRA_211	TRA	TRAV16*05	TRAJ5*01	2
TRA_212	TRA	TRAV16*05	TRAJ12*01	2
TRA_213	TRA	TRAV16*05	TRAJ41*01	2
TRA_214	TRA	TRAV16*05	TRAJ27*01	2
TRA_215	TRA	TRAV16*05	TRAJ38*01	2
TRA_216	TRA	TRAV16*05	TRAJ28*01	2
TRA_217	TRA	TRAV16*05	TRAJ24*01	2
TRA_218	TRA	TRAV16*05	TRAJ30*01	2
TRA_219	TRA	TRAV16*05	TRAJ11*01	2
TRA_220	TRA	TRAV16*05	TRAJ37*01	1
TRA_221	TRA	TRAV16*05	TRAJ18*01	1
TRA_222	TRA	TRAV16*05	TRAJ50*01	1
TRA_223	TRA	TRAV16*05	TRAJ21*02	1
TRA_224	TRA	TRAV16*05	TRAJ39*01	1
TRA_225	TRA	TRAV16*05	TRAJ45*01	1
TRA_226	TRA	TRAV16*05	TRAJ2*01	1
TRA_227	TRA	TRAV16*05	TRAJ57*01	1
TRA_228	TRA	TRAV16*05	TRAJ23*01	1
TRA_229	TRA	TRAV16*05	TRAJ32*01	1
TRA_230	TRA	TRAV16*05	TRAJ17*01	1
TRA_231	TRA	TRAV16*05	TRAJ47*01	1
TRA_232	TRA	TRAV16*05	TRAJ58*01	1
TRA_233	TRA	TRAV16*05	TRAJ47*02	1
TRA_234	TRA	TRAV16*05	TRAJ33*01	1
TRA_235	TRA	TRAV16*05	TRAJ56*01	1
TRA_236	TRA	TRAV16*05	TRAJ21*01	1
TRA_237	TRA	TRAV16*05	TRAJ4*02	1
TRA_238	TRA	TRAV16*05	TRAJ43*02	1
TRA_239	TRA	TRAV16*05	TRAJ42*02	0
TRA_240	TRA	TRAV16*05	TRAJ34*02	0
TRA_241	TRA	TRAV16*05	TRAJ34*01	0
TRA_243	TRA	TRAV16*05	TRAJ24*02	0
TRA_244	TRA	TRAV13D-2*02	TRAJ42*01	0
TRA_245	TRA	TRAV13D-2*02	TRAJ9*02	0
TRA_246	TRA	TRAV13D-2*02	TRAJ9*01	0
TRA_247	TRA	TRAV13D-2*02	TRAJ19*01	0
TRA_248	TRA	TRAV13D-2*02	TRAJ16*01	0
TRA_249	TRA	TRAV13D-2*02	TRAJ48*01	0
TRA_250	TRA	TRAV13D-2*02	TRAJ12*02	0
TRA_251	TRA	TRAV13D-2*02	TRAJ40*01	0
TRA_252	TRA	TRAV13D-2*02	TRAJ44*01	0
TRA_253	TRA	TRAV13D-2*02	TRAJ13*01	1
TRA_254	TRA	TRAV13D-2*02	TRAJ22*01	1
TRA_255	TRA	TRAV13D-2*02	TRAJ15*01	1
TRA_256	TRA	TRAV13D-2*02	TRAJ52*01	1
TRA_257	TRA	TRAV13D-2*02	TRAJ26*01	1
TRA_258	TRA	TRAV13D-2*02	TRAJ25*02	1
TRA_259	TRA	TRAV13D-2*02	TRAJ25*01	1
TRA_260	TRA	TRAV13D-2*02	TRAJ43*01	1
TRA_261	TRA	TRAV13D-2*02	TRAJ35*02	1
TRA_262	TRA	TRAV13D-2*02	TRAJ53*01	1
TRA_263	TRA	TRAV13D-2*02	TRAJ31*02	1
TRA_264	TRA	TRAV13D-2*02	TRAJ31*01	1
TRA_265	TRA	TRAV13D-2*02	TRAJ29*01	1
TRA_266	TRA	TRAV13D-2*02	TRAJ6*01	2
TRA_267	TRA	TRAV13D-2*02	TRAJ49*01	2
TRA_268	TRA	TRAV13D-2*02	TRAJ45*02	2
TRA_269	TRA	TRAV13D-2*02	TRAJ32*02	2
TRA_270	TRA	TRAV13D-2*02	TRAJ35*01	2
TRA_271	TRA	TRAV13D-2*02	TRAJ7*01	2
TRA_272	TRA	TRAV13D-2*02	TRAJ5*01	2
TRA_273	TRA	TRAV13D-2*02	TRAJ12*01	2
TRA_274	TRA	TRAV13D-2*02	TRAJ41*01	2
TRA_275	TRA	TRAV13D-2*02	TRAJ27*01	2
TRA_276	TRA	TRAV13D-2*02	TRAJ38*01	2
TRA_277	TRA	TRAV13D-2*02	TRAJ28*01	2
TRA_278	TRA	TRAV13D-2*02	TRAJ24*01	2
TRA_279	TRA	TRAV13D-2*02	TRAJ30*01	2
TRA_280	TRA	TRAV13D-2*02	TRAJ11*01	2
TRA_281	TRA	TRAV13D-2*02	TRAJ37*01	1
TRA_282	TRA	TRAV13D-2*02	TRAJ18*01	1
TRA_283	TRA	TRAV13D-2*02	TRAJ50*01	1
TRA_284	TRA	TRAV13D-2*02	TRAJ21*02	1
TRA_285	TRA	TRAV13D-2*02	TRAJ39*01	1
TRA_286	TRA	TRAV13D-2*02	TRAJ45*01	1
TRA_287	TRA	TRAV13D-2*02	TRAJ2*01	1
TRA_288	TRA	TRAV13D-2*02	TRAJ57*01	1
TRA_289	TRA	TRAV13D-2*02	TRAJ23*01	1
TRA_290	TRA	TRAV13D-2*02	TRAJ32*01	1
TRA_291	TRA	TRAV13D-2*02	TRAJ17*01	1
TRA_292	TRA	TRAV13D-2*02	TRAJ47*01	1
TRA_293	TRA	TRAV13D-2*02	TRAJ58*01	1
TRA_294	TRA	TRAV13D-2*02	TRAJ47*02	1
TRA_295	TRA	TRAV13D-2*02	TRAJ33*01	1
TRA_296	TRA	TRAV13D-2*02	TRAJ56*01	1
TRA_297	TRA	TRAV13D-2*02	TRAJ21*01	1
TRA_298	TRA	TRAV13D-2*02	TRAJ4*02	1
TRA_299	TRA	TRAV13D-2*02	TRAJ43*02	1
TRA_300	TRA	TRAV13D-2*02	TRAJ42*02	0
TRA_301	TRA	TRAV13D-2*02	TRAJ34*02	0
TRA_302	TRA	TRAV13D-2*02	TRAJ34*01	0
TRA_304	TRA	TRAV13D-2*02	TRAJ24*02	0
TRA_305	TRA	TRAV9D-1*02	TRAJ6*01	0
TRA_306	TRA	TRAV9-1*02	TRAJ13*01	0
TRA_307	TRA	TRAV9-1*02	TRAJ22*01	0
TRA_308	TRA	TRAV9-1*02	TRAJ15*01	0
TRA_309	TRA	TRAV9-1*02	TRAJ52*01	0
TRA_310	TRA	TRAV9-1*02	TRAJ26*01	0
TRA_311	TRA	TRAV9-1*02	TRAJ25*02	0
TRA_312	TRA	TRAV9-1*02	TRAJ25*01	0
TRA_313	TRA	TRAV9-1*02	TRAJ43*01	0
TRA_314	TRA	TRAV9-1*02	TRAJ35*02	0
TRA_315	TRA	TRAV9-1*02	TRAJ53*01	0
TRA_316	TRA	TRAV9-1*02	TRAJ31*02	0
TRA_317	TRA	TRAV9-1*02	TRAJ31*01	0
TRA_318	TRA	TRAV9-1*02	TRAJ29*01	0
TRA_319	TRA	TRAV9-1*02	TRAJ6*01	1
TRA_320	TRA	TRAV9-1*02	TRAJ49*01	1
TRA_321	TRA	TRAV9-1*02	TRAJ45*02	1
TRA_322	TRA	TRAV9-1*02	TRAJ32*02	1
TRA_323	TRA	TRAV9-1*02	TRAJ35*01	1
TRA_324	TRA	TRAV9-1*02	TRAJ7*01	1
TRA_325	TRA	TRAV9-1*02	TRAJ5*01	1
TRA_326	TRA	TRAV9-1*02	TRAJ12*01	1
TRA_327	TRA	TRAV9-1*02	TRAJ41*01	1
TRA_328	TRA	TRAV9-1*02	TRAJ42*01	2
TRA_329	TRA	TRAV9-1*02	TRAJ9*02	2
TRA_330	TRA	TRAV9-1*02	TRAJ9*01	2
TRA_331	TRA	TRAV9-1*02	TRAJ19*01	2
TRA_332	TRA	TRAV9-1*02	TRAJ16*01	2
TRA_333	TRA	TRAV9-1*02	TRAJ48*01	2
TRA_334	TRA	TRAV9-1*02	TRAJ12*02	2
TRA_335	TRA	TRAV9-1*02	TRAJ40*01	2
TRA_336	TRA	TRAV9-1*02	TRAJ44*01	2
TRA_337	TRA	TRAV9-1*02	TRAJ42*02	2
TRA_338	TRA	TRAV9-1*02	TRAJ34*02	2
TRA_339	TRA	TRAV9-1*02	TRAJ34*01	2
TRA_341	TRA	TRAV9-1*02	TRAJ24*02	2
TRA_342	TRA	TRAV9-1*02	TRAJ27*01	1
TRA_343	TRA	TRAV9-1*02	TRAJ38*01	1
TRA_344	TRA	TRAV9-1*02	TRAJ28*01	1
TRA_345	TRA	TRAV9-1*02	TRAJ24*01	1
TRA_346	TRA	TRAV9-1*02	TRAJ30*01	1
TRA_347	TRA	TRAV9-1*02	TRAJ11*01	1
TRA_348	TRA	TRAV9-1*02	TRAJ37*01	0
TRA_349	TRA	TRAV9-1*02	TRAJ18*01	0
TRA_350	TRA	TRAV9-1*02	TRAJ50*01	0
TRA_351	TRA	TRAV9-1*02	TRAJ21*02	0
TRA_352	TRA	TRAV9-1*02	TRAJ39*01	0
TRA_353	TRA	TRAV9-1*02	TRAJ45*01	0
TRA_354	TRA	TRAV9-1*02	TRAJ2*01	0
TRA_355	TRA	TRAV9-1*02	TRAJ57*01	0
TRA_356	TRA	TRAV9-1*02	TRAJ23*01	0
TRA_357	TRA	TRAV9-1*02	TRAJ32*01	0
TRA_358	TRA	TRAV9-1*02	TRAJ17*01	0
TRA_359	TRA	TRAV9-1*02	TRAJ47*01	0
TRA_360	TRA	TRAV9-1*02	TRAJ58*01	0
TRA_361	TRA	TRAV9-1*02	TRAJ47*02	0
TRA_362	TRA	TRAV9-1*02	TRAJ33*01	0
TRA_363	TRA	TRAV9-1*02	TRAJ56*01	0
TRA_364	TRA	TRAV9-1*02	TRAJ21*01	0
TRA_365	TRA	TRAV9-1*02	TRAJ4*02	0
TRA_366	TRA	TRAV9-1*02	TRAJ43*02	0
TRA_367	TRA	TRAV9D-1*02	TRAJ49*01	0
TRA_368	TRA	TRAV9D-1*02	TRAJ45*02	0
TRA_369	TRA	TRAV9D-1*02	TRAJ32*02	0
TRA_370	TRA	TRAV9D-1*02	TRAJ35*01	0
TRA_371	TRA	TRAV9D-1*02	TRAJ7*01	0
TRA_372	TRA	TRAV9D-1*02	TRAJ5*01	0
TRA_373	TRA	TRAV9D-1*02	TRAJ12*01	0
TRA_374	TRA	TRAV9D-1*02	TRAJ41*01	0
TRA_375	TRA	TRAV9D-1*02	TRAJ42*01	1
TRA_376	TRA	TRAV9D-1*02	TRAJ9*02	1
TRA_377	TRA	TRAV9D-1*02	TRAJ9*01	1
TRA_378	TRA	TRAV9D-1*02	TRAJ19*01	1
TRA_379	TRA	TRAV9D-1*02	TRAJ16*01	1
TRA_380	TRA	TRAV9D-1*02	TRAJ48*01	1
TRA_381	TRA	TRAV9D-1*02	TRAJ12*02	1
TRA_382	TRA	TRAV9D-1*02	TRAJ40*01	1
TRA_383	TRA	TRAV9D-1*02	TRAJ44*01	1
TRA_384	TRA	TRAV9D-1*02	TRAJ13*01	2
TRA_385	TRA	TRAV9D-1*02	TRAJ22*01	2
TRA_386	TRA	TRAV9D-1*02	TRAJ15*01	2
TRA_387	TRA	TRAV9D-1*02	TRAJ52*01	2
TRA_388	TRA	TRAV9D-1*02	TRAJ26*01	2
TRA_389	TRA	TRAV9D-1*02	TRAJ25*02	2
TRA_390	TRA	TRAV9D-1*02	TRAJ25*01	2
TRA_391	TRA	TRAV9D-1*02	TRAJ43*01	2
TRA_392	TRA	TRAV9D-1*02	TRAJ35*02	2
TRA_393	TRA	TRAV9D-1*02	TRAJ53*01	2
TRA_394	TRA	TRAV9D-1*02	TRAJ31*02	2
TRA_395	TRA	TRAV9D-1*02	TRAJ31*01	2
TRA_396	TRA	TRAV9D-1*02	TRAJ29*01	2
TRA_397	TRA	TRAV9D-1*02	TRAJ37*01	2
TRA_398	TRA	TRAV9D-1*02	TRAJ18*01	2
TRA_399	TRA	TRAV9D-1*02	TRAJ50*01	2
TRA_400	TRA	TRAV9D-1*02	TRAJ21*02	2
TRA_401	TRA	TRAV9D-1*02	TRAJ39*01	2
TRA_402	TRA	TRAV9D-1*02	TRAJ45*01	2
TRA_403	TRA	TRAV9D-1*02	TRAJ2*01	2
TRA_404	TRA	TRAV9D-1*02	TRAJ57*01	2
TRA_405	TRA	TRAV9D-1*02	TRAJ23*01	2
TRA_406	TRA	TRAV9D-1*02	TRAJ32*01	2
TRA_407	TRA	TRAV9D-1*02	TRAJ17*01	2
TRA_408	TRA	TRAV9D-1*02	TRAJ47*01	2
TRA_409	TRA	TRAV9D-1*02	TRAJ58*01	2
TRA_410	TRA	TRAV9D-1*02	TRAJ47*02	2
TRA_411	TRA	TRAV9D-1*02	TRAJ33*01	2
TRA_412	TRA	TRAV9D-1*02	TRAJ56*01	2
TRA_413	TRA	TRAV9D-1*02	TRAJ21*01	2
TRA_414	TRA	TRAV9D-1*02	TRAJ4*02	2
TRA_415	TRA	TRAV9D-1*02	TRAJ43*02	2
TRA_416	TRA	TRAV9D-1*02	TRAJ42*02	1
TRA_417	TRA	TRAV9D-1*02	TRAJ34*02	1
TRA_418	TRA	TRAV9D-1*02	TRAJ34*01	1
TRA_420	TRA	TRAV9D-1*02	TRAJ24*02	1
TRA_421	TRA	TRAV9D-1*02	TRAJ27*01	0
TRA_422	TRA	TRAV9D-1*02	TRAJ38*01	0
TRA_423	TRA	TRAV9D-1*02	TRAJ28*01	0
TRA_424	TRA	TRAV9D-1*02	TRAJ24*01	0
TRA_425	TRA	TRAV9D-1*02	TRAJ30*01	0
TRA_426	TRA	TRAV9D-1*02	TRAJ11*01	0
TRA_427	TRA	TRAV9D-1*03	TRAJ13*01	0
TRA_428	TRA	TRAV9D-1*03	TRAJ22*01	0
TRA_429	TRA	TRAV9D-1*03	TRAJ15*01	0
TRA_430	TRA	TRAV9D-1*03	TRAJ52*01	0
TRA_431	TRA	TRAV9D-1*03	TRAJ26*01	0
TRA_432	TRA	TRAV9D-1*03	TRAJ25*02	0
TRA_433	TRA	TRAV9D-1*03	TRAJ25*01	0
TRA_434	TRA	TRAV9D-1*03	TRAJ43*01	0
TRA_435	TRA	TRAV9D-1*03	TRAJ35*02	0
TRA_436	TRA	TRAV9D-1*03	TRAJ53*01	0
TRA_437	TRA	TRAV9D-1*03	TRAJ31*02	0
TRA_438	TRA	TRAV9D-1*03	TRAJ31*01	0
TRA_439	TRA	TRAV9D-1*03	TRAJ29*01	0
TRA_440	TRA	TRAV9D-1*03	TRAJ6*01	1
TRA_441	TRA	TRAV9D-1*03	TRAJ49*01	1
TRA_442	TRA	TRAV9D-1*03	TRAJ45*02	1
TRA_443	TRA	TRAV9D-1*03	TRAJ32*02	1
TRA_444	TRA	TRAV9D-1*03	TRAJ35*01	1
TRA_445	TRA	TRAV9D-1*03	TRAJ7*01	1
TRA_446	TRA	TRAV9D-1*03	TRAJ5*01	1
TRA_447	TRA	TRAV9D-1*03	TRAJ12*01	1
TRA_448	TRA	TRAV9D-1*03	TRAJ41*01	1
TRA_449	TRA	TRAV9D-1*03	TRAJ42*01	2
TRA_450	TRA	TRAV9D-1*03	TRAJ9*02	2
TRA_451	TRA	TRAV9D-1*03	TRAJ9*01	2
TRA_452	TRA	TRAV9D-1*03	TRAJ19*01	2
TRA_453	TRA	TRAV9D-1*03	TRAJ16*01	2
TRA_454	TRA	TRAV9D-1*03	TRAJ48*01	2
TRA_455	TRA	TRAV9D-1*03	TRAJ12*02	2
TRA_456	TRA	TRAV9D-1*03	TRAJ40*01	2
TRA_457	TRA	TRAV9D-1*03	TRAJ44*01	2
TRA_458	TRA	TRAV9D-1*03	TRAJ42*02	2
TRA_459	TRA	TRAV9D-1*03	TRAJ34*02	2
TRA_460	TRA	TRAV9D-1*03	TRAJ34*01	2
TRA_462	TRA	TRAV9D-1*03	TRAJ24*02	2
TRA_463	TRA	TRAV9D-1*03	TRAJ27*01	1
TRA_464	TRA	TRAV9D-1*03	TRAJ38*01	1
TRA_465	TRA	TRAV9D-1*03	TRAJ28*01	1
TRA_466	TRA	TRAV9D-1*03	TRAJ24*01	1
TRA_467	TRA	TRAV9D-1*03	TRAJ30*01	1
TRA_468	TRA	TRAV9D-1*03	TRAJ11*01	1
TRA_469	TRA	TRAV9D-1*03	TRAJ37*01	0
TRA_470	TRA	TRAV9D-1*03	TRAJ18*01	0
TRA_471	TRA	TRAV9D-1*03	TRAJ50*01	0
TRA_472	TRA	TRAV9D-1*03	TRAJ21*02	0
TRA_473	TRA	TRAV9D-1*03	TRAJ39*01	0
TRA_474	TRA	TRAV9D-1*03	TRAJ45*01	0
TRA_475	TRA	TRAV9D-1*03	TRAJ2*01	0
TRA_476	TRA	TRAV9D-1*03	TRAJ57*01	0
TRA_477	TRA	TRAV9D-1*03	TRAJ23*01	0
TRA_478	TRA	TRAV9D-1*03	TRAJ32*01	0
TRA_479	TRA	TRAV9D-1*03	TRAJ17*01	0
TRA_480	TRA	TRAV9D-1*03	TRAJ47*01	0
TRA_481	TRA	TRAV9D-1*03	TRAJ58*01	0
TRA_482	TRA	TRAV9D-1*03	TRAJ47*02	0
TRA_483	TRA	TRAV9D-1*03	TRAJ33*01	0
TRA_484	TRA	TRAV9D-1*03	TRAJ56*01	0
TRA_485	TRA	TRAV9D-1*03	TRAJ21*01	0
TRA_486	TRA	TRAV9D-1*03	TRAJ4*02	0
TRA_487	TRA	TRAV9D-1*03	TRAJ43*02	0
